Year(Release_Date),Genre,Developer,count(*)
2009,Sports,"Mindstorm Studios",2
2009,Sports,MumboJumbo,2
2009,Sports,Nimblebit,1
2009,Sports,"Redlynx Ltd",2
2009,Sports,"Smashball Labs LLC",1
2009,Sports,"Sports Interactive",1
2009,Sports,"Visual Concepts",1
2009,Sports,"Wanako Games",1
2009,Strategy,"14° East",2
2009,Strategy,"1C Company",4
2009,Strategy,1C:InoCo,9
2009,Strategy,"Apus Software",1
2009,Strategy,"Arcen Games, LLC",2
2009,Strategy,"Ascaron Entertainment ltd.",1
2009,Strategy,"BattleGoat Studios",1
2009,Strategy,"Best Way",3
2009,Strategy,"Black Sea Studios Ltd",1
2009,Strategy,"Blue Byte",2
2009,Strategy,"Bohemia Interactive",4
2009,Strategy,"BreakAway Games",2
2009,Strategy,"Certain Affinity™",3
2009,Strategy,"Crystal Empire Games",1
2009,Strategy,Cyberlore,1
2009,Strategy,"EA Los Angeles",8
2009,Strategy,"Eidos Studio Hungary",1
2009,Strategy,Elecorn,2
2009,Strategy,"Elixir Studios",1
2009,Strategy,"Enlight Software Limited",1
2009,Strategy,"Fakt Software",1
2009,Strategy,"Feral Interactive (Linux)",5
2009,Strategy,"Feral Interactive (Mac)",5
2009,Strategy,Frima,1
2009,Strategy,"Frog City Software",2
2009,Strategy,Frontier,1
2009,Strategy,"GFI Russia",2
2009,Strategy,"Haemimont Games",5
2009,Strategy,"Hidden Path Entertainment",1
2009,Strategy,InnoGlow,2
2009,Strategy,"Inventive Dingo",2
2009,Strategy,"Irrational Games",6
2009,Strategy,"Katauri Interactive",2
2009,Strategy,"KDV Games",2
2009,Strategy,"Lazy 8 Studios",1
2009,Strategy,"Lesta Studios Inc",1
